Gene name,Gene type,Chromosome/scaffold name,Strand,Transcript count
MT-TF,Mt_tRNA,MT,1,1
MT-RNR1,Mt_rRNA,MT,1,1
MT-TV,Mt_tRNA,MT,1,1
MT-RNR2,Mt_rRNA,MT,1,1
MT-TL1,Mt_tRNA,MT,1,1
MT-ND1,protein_coding,MT,1,1
MT-TI,Mt_tRNA,MT,1,1
MT-TQ,Mt_tRNA,MT,-1,1
MT-TM,Mt_tRNA,MT,1,1
MT-ND2,protein_coding,MT,1,1
MT-TW,Mt_tRNA,MT,1,1
MT-TA,Mt_tRNA,MT,-1,1
MT-TN,Mt_tRNA,MT,-1,1
MT-TC,Mt_tRNA,MT,-1,1
MT-TY,Mt_tRNA,MT,-1,1
MT-CO1,protein_coding,MT,1,1
MT-TS1,Mt_tRNA,MT,-1,1
MT-TD,Mt_tRNA,MT,1,1
MT-CO2,protein_coding,MT,1,1
MT-TK,Mt_tRNA,MT,1,1
MT-ATP8,protein_coding,MT,1,1
MT-ATP6,protein_coding,MT,1,1
MT-CO3,protein_coding,MT,1,1
MT-TG,Mt_tRNA,MT,1,1
MT-ND3,protein_coding,MT,1,1
MT-TR,Mt_tRNA,MT,1,1
MT-ND4L,protein_coding,MT,1,1
MT-ND4,protein_coding,MT,1,1
MT-TH,Mt_tRNA,MT,1,1
MT-TS2,Mt_tRNA,MT,1,1
MT-TL2,Mt_tRNA,MT,1,1
MT-ND5,protein_coding,MT,1,1
MT-ND6,protein_coding,MT,-1,1
MT-TE,Mt_tRNA,MT,-1,1
MT-CYB,protein_coding,MT,1,1
MT-TT,Mt_tRNA,MT,1,1
MT-TP,Mt_tRNA,MT,-1,1
PFN1P9,processed_pseudogene,1,1,1
NOTCH2P1,processed_pseudogene,1,1,1
ADAM30,protein_coding,1,-1,1
NOTCH2,protein_coding,1,-1,13
AC245008.1,lncRNA,1,1,1
RNU6-465P,snRNA,1,1,1
SEC22B,protein_coding,1,-1,2
AC244669.2,unprocessed_pseudogene,1,1,1
7SK,misc_RNA,1,-1,1
AC244669.1,transcribed_unprocessed_pseudogene,1,-1,4
U1,snRNA,1,1,1
NBPF8,transcribed_unprocessed_pseudogene,1,1,2
PFN1P2,transcribed_processed_pseudogene,1,-1,2
AC241952.1,transcribed_unprocessed_pseudogene,1,-1,3
U2,snRNA,1,1,1
7SK,misc_RNA,1,1,1
NOTCH2NLR,protein_coding,1,1,1
NBPF26,protein_coding,1,1,11
AC253572.1,lncRNA,1,-1,1
RNVU1-19,snRNA,1,-1,1
PPIAL4A,protein_coding,1,1,1
AC241377.3,TEC,1,-1,2
LINC00623,lncRNA,1,1,6
RNVU1-4,snRNA,1,1,1
AC241377.4,transcribed_unprocessed_pseudogene,1,1,2
AC241377.2,transcribed_unprocessed_pseudogene,1,-1,2
U1,snRNA,1,-1,1
AC241377.1,processed_pseudogene,1,-1,1
FCGR1B,protein_coding,1,1,10
AC244453.3,lncRNA,1,-1,1
AC244453.2,lncRNA,1,-1,1
H2BP1,transcribed_unprocessed_pseudogene,1,-1,2
AC244453.1,lncRNA,1,1,1
H3P4,unprocessed_pseudogene,1,-1,1
RPL22P6,processed_pseudogene,1,-1,1
FAM72B,protein_coding,1,-1,7
SRGAP2C,protein_coding,1,1,5
AC243994.1,processed_pseudogene,1,-1,1
SRGAP2-AS1,lncRNA,1,-1,2
LINC02798,lncRNA,1,1,6
AL592494.1,lncRNA,1,-1,2
MTIF2P1,processed_pseudogene,1,1,1
AL592494.2,lncRNA,1,-1,1
EMBP1,transcribed_unprocessed_pseudogene,1,1,4
LINC01691,lncRNA,1,-1,1
AC242852.1,unprocessed_pseudogene,1,1,1
AC242852.2,unprocessed_pseudogene,1,1,1
AC239859.5,unprocessed_pseudogene,1,-1,1
RNA5SP533,rRNA,1,1,1
AC239859.3,processed_pseudogene,1,-1,1
AC239859.4,unprocessed_pseudogene,1,-1,1
NKAIN1P1,processed_pseudogene,1,1,1
AC239859.2,processed_pseudogene,1,1,1
LINC02799,lncRNA,1,-1,1
AC239859.1,unprocessed_pseudogene,1,1,1
NBPF17P,unprocessed_pseudogene,1,-1,1
PFN1P12,processed_pseudogene,1,1,1
RNU1-114P,snRNA,1,-1,1
RNVU1-17,snRNA,1,-1,1
RNVU1-23,snRNA,1,-1,1
RNVU1-18,snRNA,1,-1,1
AC239800.2,lncRNA,1,1,1
AC239800.1,unprocessed_pseudogene,1,1,1
FAM91A3P,transcribed_processed_pseudogene,1,1,1
AC239800.3,processed_pseudogene,1,1,1
LINC02591,lncRNA,1,1,1
RNU1-143P,snRNA,1,-1,1
AC239798.1,unprocessed_pseudogene,1,-1,1
AC239798.2,processed_pseudogene,1,-1,1
FCGR1CP,unprocessed_pseudogene,1,1,1
H2BP2,transcribed_unprocessed_pseudogene,1,-1,4
H3-2,protein_coding,1,-1,3
AC246680.1,lncRNA,1,1,1
RPL22P5,processed_pseudogene,1,-1,1
FAM72C,protein_coding,1,-1,2
SRGAP2D,unprocessed_pseudogene,1,1,1
IGKV1OR1-1,IG_V_pseudogene,1,1,1
AC244015.1,processed_pseudogene,1,1,1
AC244015.2,unprocessed_pseudogene,1,1,1
LINC02802,lncRNA,1,-1,4
RNA5SP529,rRNA,1,1,1
DRD5P2,processed_pseudogene,1,-1,1
AC245595.1,transcribed_unprocessed_pseudogene,1,-1,2
PPIAL4E,protein_coding,1,-1,1
AC246785.4,processed_pseudogene,1,-1,1
RNVU1-15,snRNA,1,1,1
AC246785.3,lncRNA,1,-1,1
AC246785.2,processed_pseudogene,1,1,1
NBPF15,protein_coding,1,-1,8
